name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Djed Spence,517,15,0,0,0,0,0,0,0,0,0.2,-37307,0,4.0,0
Japhet Tanganga,518,15,0,0,0,0,0,0,0,0,0.4,-51710,0,4.0,0
Destiny Udogie,519,15,4,2,3,19,1052,0,0,0,9.6,655947,4,4.8,31
Micky van de Ven,639,15,4,0,4,10,945,0,0,0,1.6,93719,1,4.5,43
Ashley Phillips,702,15,0,0,0,0,0,0,0,0,0.1,3117,0,4.0,0
Alfie Dorrington,740,15,0,0,0,0,0,0,0,0,0.0,564,0,4.0,0
Nayef Aguerd,522,15,0,0,1,24,1236,0,0,0,1.0,21064,1,4.5,27
Vladimír Coufal,528,15,5,5,1,25,1346,0,0,0,3.5,313123,3,4.6,44
Aaron Cresswell,530,15,0,0,0,1,85,0,0,0,0.3,-60579,0,4.2,3
Emerson Palmieri dos Santos,532,15,2,2,1,24,1260,0,0,0,0.7,19726,7,4.5,26
Ben Johnson,536,15,0,0,0,0,0,0,0,0,0.1,-3521,0,4.4,0
Thilo Kehrer,537,15,0,0,0,1,18,0,0,0,0.1,-7019,1,4.3,2
Kurt Zouma,544,15,4,0,1,21,1170,0,0,0,1.8,60902,1,4.5,33
Angelo Ogbonna,577,15,0,0,0,1,112,0,0,0,0.1,-4137,0,4.3,4
Konstantinos Mavropanos,676,15,0,0,0,4,181,1,0,0,0.0,839,1,4.5,1
Rayan Aït-Nouri,545,15,0,0,0,16,889,0,0,0,0.4,2859,4,4.5,13
Bendegúz Bolla,547,15,0,0,0,0,0,0,0,0,0.5,-41583,0,4.0,0
Hugo Bueno López,548,15,0,0,2,5,291,1,0,0,0.1,-6092,0,4.4,15
Craig Dawson,551,15,2,0,2,22,1240,0,0,0,0.4,14256,5,4.5,26
Ki-Jana Hoever,556,15,0,0,0,0,0,0,0,0,0.0,-4728,0,4.0,0
Jonathan Castro Otto,560,15,0,0,0,0,4,0,0,0,0.1,-3290,0,4.3,1
Max Kilman,563,15,2,0,2,25,1350,0,0,0,0.8,-767,3,4.5,29
Nélson Cabral Semedo,572,15,0,1,2,24,1229,0,0,0,0.6,22676,4,4.5,27
Toti António Gomes,573,15,3,1,1,13,853,0,0,0,0.2,7537,0,4.4,28
Matt Doherty,598,15,0,0,0,7,349,0,0,0,0.2,-11639,1,4.3,8
Santiago Bueno,697,15,0,0,0,3,90,0,0,0,0.0,538,0,4.5,1
Justin Hubner,751,15,0,0,0,0,0,0,0,0,0.0,513,0,4.0,0
